001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"N42610","1732","Cheselden, William,",,,"1688-1752.","The anatomy of the human body.","By William Cheselden, ... ","The fourth edition. With the addition of an appendix, which also is printed separately for the use of those who have the former editions.","London :","printed by W. Bowyer; and sold by A. Bettesworth and C. Hitch,","1732. ","[14],336p.,plates ","8⁰. "
"N42839","1748","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences,","which men ordinarily make for their not coming to the Holy Communion. To which is added, a brief account of the end and design of the Holy Communion, ... By ... Dr. Edward Synge, ...","The nineteenth edition, carefully corrected.","London :","printed for Thomas Trye,","1748.","48p. ","12⁰."
"N42840","1732","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences","which men ordinarily make for their not coming to the Holy Communion. To which is added, a brief account of the end and design of the Holy Communion; ... By a divine of the Church of England. ","The thirteenth edition corrected.","London :","printed for R. Williamson,","1732. ","48p. ","12⁰. "
"N43016","1723","Taswell, William,",,,"1652-1731.","Antichrist reveal'd among the sect of Quakers.","In answer to a book entitled, the rector corrected. By William Taswell, D.D. ",,"London :","printed for Richard Sare,","1723. ","[4],72p. ","8⁰. "
"N43264","1720",,,,,"Good brother, being resolved, by God's assistance, to visit my diocese this next summer, I send the following questions to you; to which you are to write down as full and distinct an answer, as you are able, under every one of them. ... ",,,"[London,",,"1720] ","4p. ","4⁰. "
"N43328","1769","Strange, John,",,,"1696-1754.","An account of an essay on the origin of a natural paper, found near the city of Cortona in Tuscany. In a letter from John Strange, Esq. F.R.S. to Mathew Maty, ...",,,"London :","printed by W. Bowyer and J. Nichols,","1769.","8p. ","4⁰."
"N43579","1723",,,,,"Brevissimum metaphysicæ compendium, secundum mentem nominalium. ",,,"Londini :","impensis Guil. & Joh. Innys,","1723. ","40p. ","8⁰. "
"N43612","1745","Wright, J.",,"(John),","fl. 1720-1744.","The best mirth:","or, the melody of Sion. Being, a collection of spiritual hymns, ... By John Wright.","The second edition corrected.","London :","printed for Aaron Ward,","1745.","[12],96p. ","12⁰."
"N43808","1714","Farquhar, George,",,,"1677?-1707.","The beaux stratagem.","A comedy. By Mr. George Farquhar. ","The fifth edition.","London :","printed for Bernard Lintott,","1714. ","95,[1]p. :","12⁰. "
"N43966","1712","Wood, Thomas,",,,"1661-1722.","A new institute of the imperial or civil law.","With notes shewing in some principal cases, ... how the canon law, the laws of England, and the laws and customs of other nations differ from it. In four books. ... The second edition corrected, with additions. By Tho. Wood, ... ",,"London :","printed by W. B. for Richard Sare,","1712. ","[2],xi,[3],414,[10];[4],144p. ","8⁰. "
"N4403","1746","Exton, John,",,,"1600?-1668.","The maritime dicæologie","or, sea-jurisdiction of England. In three books. ... By John Exton, ...",,"London :","printed for C. Davis,","1746.","xvi,404p. ","8⁰."
"N44233","1717",,,,,"The Christian institutes,","or, the sincere word of God. Being a plain and impartial account of the whole faith and duty of a Christian. Collected out of the writings of the Old and New Testament: ... By the Right Reverend Father in God, Francis, Lord Bishop of Chester.","The third edition corrected and improv'd.","London :","printed by W. B. for Henry Clements,","1717. ","[24],329,[7]p. ","12⁰. "
"N44274","1739","Scott, John,",,,"1639-1695.","The Christian life.","Wherein the great duties of justice, mercy, and mortification, are fully explained and enforced. Vol. IV. By John Scott, ... ","The fourth edition.","London :","printed for D. Midwinter, A. Bettesworth and C. Hitch, J. and J. Pemberton, R. Ware, C. Rivington, [and 6 others in London],","1739. ","[20],316p. ","8⁰. "
"N44276","1757","Scott, John,",,,"1639-1695.","The Christian life.","Wherein the great duties of justice, mercy, and mortification, are fully explained and enforced. Vol. IV. By John Scott, ...","The sixth edition.","London :","printed for J. Knapton, C. Hitch and L. Hawes, J. Hodges, C. Bathurst, J. Beecroft, [and 6 others in London],","1757.","[4],316p. ","8⁰."
"N44416","1760","Johnson, Samuel,",,,"fl. 1758.","A complete introduction to the art of writing letters,","universally adapted to all classes and conditions of life; ... The second edition, with great additions and improvements. By S. Johnson.",,"London :","printed for Henry Dell; and by all the booksellers in town and country,","1760.","xi,[1],203,[1]p.,plate ","12⁰."
"N44669","1711","Swift, Jonathan,",,,"1667-1745.","Miscellanies in prose and verse. ",,,"London :","printed for John Morphew, near Stationers Hall,","MDCCXI. [1711] ","[14],91,[1],95-416p. ","8⁰. "
"N4482","1758","Conway, Henry Seymour,",,,"1719-1795.","The military arguments, in the letter to a Right Honourable author, fully considered, by an officer.",,"The second edition.","London :","printed for Jacob Robinson,","1758.","76p. ","8⁰."
"N450","1760","Bošković, Rudjer Josip,",,,"1711-1787.","De solis ac lunae defectibus","libri V. P. Rogerii Iosephi Boscovich, Societatis Iesv, AD Regiam Societatem Londinensem. Ibidem autem et astronomiae synopsis, et theoria luminis Newtoniana, et alia multa ad physicam pertinentia, versibus pertractantur; cum ejusdem auctoris adnotationibus.",,"Londini :","apud Andream Millar , in The Strand ; et R. et J. Dodsleios, in Pall-Mall,","MDCCLX. [1760]","[4],v,[1],250p. ","4⁰."
"N45648","1765",,,,,"Selectae e profanis scriptoribus historiae.","Quibus admista sunt varia honeste vivendi praecepta, ... ","Nova editio, prioribus longè emendatior.","Londini :","impensis H. Woodfall, C. Bathurst, L. Hawes et W. Clarke et R. Collins, W. Johnston, T. Caslon, [and 4 others in London],","1765. ","xv,[9],320,[4]p. ","12⁰. "
"N45781","1730","Swift, Jonathan,",,,"1667-1745.","A vindication of His Excellency the Lord C---t,","from the charge of favouring none but Tories, high-churchmen and Jacobites. By the Reverend Dr. S--t. ","The second edition.","London :","printed for T. Warner; and sold by the booksellers of London and Westminster, Oxford and Cambridge,","1730. ","31,[1]p. ","8⁰. "
"N45832","1739","Swift, Jonathan,",,,"1667-1745.","Verses on the death of Doctor Swift.","Written by himself; November 1731. ","The third edition.","London :","printed for C. Bathurst,","1739. ","20p. ","2⁰. "
"N45839","1715","South, Robert,",,,"1634-1716.","Forty eight sermons and discourses on several subjects, and occasions. In four volumes. By Robert South, ...",,,"London :","printed by G. James, for Jonah Bowyer,","1715.","4v.,plate :","8⁰."
"N45858","1775","Sherlock, Thomas,",,,"1678-1761.","Several discourses preached at the Temple Church.","By Tho. Sherlock, ... In three volumes. ... The seventh edition. To which is added, the life of the author; and his lordship's letter to the clergy and people of London and Westminster.",,"London :","printed for J. Whiston, W. Owen, J. and F. Rivington, T. Caslon, B. Law, G. Robinson, and T. Evans,","1775.","3v.,plate :","12⁰."
"N45952","1761","Nelson, Robert,",,,"1656-1715.","Instructions for them that come to be confirmed:","... By Rob. Nelson, Esq.","The twenty-fourth edition.","London :","printed by W. Bowyer, for J. Knapton, C. Hitch and L. Hawes, T. Osborne [and 10 others in London],","1761.","24p. ","12⁰."
"N45961","1755","Maud, John,",,,"1709 or 10-1763.","The tremendous sanction; or, doctrine of endless torments,","freely and impartially debated, inquiring what credibility it hath from history, analogy, or scripture. With a discussion on the origin of evil. In four books. By John Maud, ...",,"London :","printed for J. Whiston, and B. White; C. Davis; and B. Dod,","1755.","xx,493,[1]p. ","8⁰."
"N46016","1737","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences","which men ordinarily make for their not coming to the Holy Communion. To which is added, a brief account of the end and design of the Holy Communion, the Obligation to receive it, the Way to prepare for it, and the Behaviour of ourselves both at and after it. Fitted for the meanest Capacities, and very proper to be given away by such as are charitably inclined. By the most reverend Dr. Edward Synge, Lord Archbishop of Tuam in Ireland. ","The fourteenth edition corrected.","London :","printed for Thomas Trye near Gray's Inn Gate in Holbourn,","MDCCXXXVII. [1737] ","48p. ","12⁰. "
"N46050","1741","Nelson, Robert,",,,"1656-1715.","The great duty of frequenting the Christian sacrifice, and the nature of the preparation required","with suitable devotions. Partly collected from the ancient liturgies. To which are prefixed Instructions for Confirmation. ","The eleventh edition.","London :","printed by W. Bowyer for D. Midwinter, J. and J. Bonwicke, R. Ware, C. Rivington, A. Ward, J. and P. Knapton. S. Birt, T. Longman, R. Hett, C. Hitch, T. Osborn, S. Austen, E. Wicksteed, J. Wood, C. Woodward, and J. Pemberton,","1741. ","x,202,[4]p. ","12⁰. "
"N4608","1741",,,,,"Arturi Jonstoni Psalmi Davidici cum argumentis et notis, juxta editionem in usum Serenissimi Principis. ",,,"Londini :","apud W. Innys, D. Browne, et Paul. Vaillant. Typis Gul. Bowyer,","1741. ","[2],312p. ","12⁰. "
"N46141","1734","Mason, Francis,",,,"1566?-1621.","A vindication of the Church of England, and of the lawful ministry thereof:","that is to say, of the succession, ... and consecration of bishops; ... Written by Francis Mason, ... and now faithfully translated from the author's Latin edition (much inlarged and corrected.) Whereunto is added, a new edition of a sermon of the same author's, concerning the authority of the church: ... in an appendix. Together with an exact index ... and marginal notes upon the whole book, ... By John Lindsay, ... ",,"London :","printed by W. B.,","1734. ","[2],cxxvi,[14],623,[1];24;[4],xliii,[12]p. ","2⁰. "
"N46378","1753","Boyer, Abel,",,,"1667-1729.","The compleat French master","for ladies and gentlemen. Containing I. A new methodical French grammar. ... VIII. Catalogue of the best French books, ... By Mr. A. Boyer, ...","The seventeenth edition, carefully corrected and much improved.","London :","printed for S. and E. Ballard,","1753.","416p. ","8⁰."
"N46482","1768","Wilcocks, Joseph,",,,"1724-1791.","Sacred exercises.","In four books. Compiled for the use of places of education, particulary Westminster-School.","The third edition.","London :","sold by W. Ginger,","1768.","[4],xii,[6],297,[3]p. ","8⁰."
"N465","1739","Ward, John,",,,"ca. 1679-1758.","De ratione interpungendi.","Autore Joanne Ward, R.P.G.C. Cui accedunt Ger. Jo. Vossii Elementa rhetorica, oratoriis ejusdem partitionibus accommodata.",,"Londini :","impensis J. Richardson, in Pater-Noster-Row,","MDCCXXXIX. [1739]","[2],42;48p. ","8⁰."
"N46623","1734","Synge, Edward,",,,"1659-1741.","Some short and plain directions for the spending of one day well","by which (if every day carefully observed) a man may be much enabled, (through God's grace) to spend his whole life well. By the author of The answer to all excuses and pretences for not coming to the Holy Communion. ","The sixth edition.","London :","printed for R. Williamson,","1734. ","12p. ","12⁰. "
"N46845","1766","Swift, Jonathan,",,,"1667-1745.","Swift's directions to servants.",,"A new edition.","London :","printed for T. Osborne, W. Bowyer, C. Bathurst, W. Strahan, J. Rivington, [and 6 others],","1766.","[4],83,[1]p. ","8⁰."
"N47088","1747","Scott, John,",,,"1639-1695.","The Christian life,","from its beginning, to its consummation in glory; ... With directions for private devotion, ... By John Scott, ... In five volumes. ...","The eleventh edition corrected.","London :","printed for R. Ware, A. Ward, J. and P. Knapton, T. Longman and S. Shewell, R. Hett, [and 7 others in London],","1747.","5v.,plate ","8⁰."
"N47093","1730",,,,,"A bill for better regulating of juries. ",,,"[London?,",,"1730] ","7,[1]p. ","2⁰. "
"N47170","1720",,,,,"The church catechism, with explanations and scripture-proofs.","For the use of a private parish. ","The fifth edition corrected.","London :","printed for R. Wilkin,","1720. ","[4],44p. ","12⁰. "
"N47309","1723","Shadwell, Charles,",,,"d. 1726.","The fair Quaker of Deal:","or, the humours of the navy. A comedy. As it is acted at the Theatre-Royal in Drury-Lane. ",,"London :","printed for D. Browne, James Knapton, and Bernard Lintot,","1723. ","81,[3]p. :","12⁰. "
"N47311","1771","Nichols, Elizabeth Eyton.",,,,"The fault was all his own.","A novel. In a series of letters. By a Lady. In two volumes. ...",,"London :","printed for G. Riley, (successor to W. Cooke,) at his circulating library,","1771.","2v. ","12⁰."
"N47530","1718","Sherlock, Thomas,",,,"1678-1761.","A vindication of the Corporation and Test Acts.","In answer to the Bishop of Bangor's reasons for the repeal of them. To which is added: a second part, concerning the religion of oaths. By Tho. Sherlock, D. D. Dean of Chichester, and Master of the Temple. ","The second edition, corrected.","London :","printed for J. Pemberton at the Buck and Sun, over against St. Dunstan's Church in Fleet-Street,","[1718] ","[12],116p. ","8⁰. "
"N47539","1716",,,,,"A specimen of an help for the more easy and clear understanding of the Holy Scriptures: being St. Paul's two Epistles to the Thessalonians, and his Epistle to the Galatians,","explained after the following method, viz. I. The original or Greek text amended according to the best and most ancient readings. II. The common English translation render'd more agreeable to the original. III. A paraphrase, wherein not only the difficult expressions or passages are explained, but also the design of the apostle in each epistle, and the method used by him in prosecuting his design, is set forth by proper divisions into sections and paragraphs; the contents of the several divisions being not only set down in their proper places, but also exhibited all together in one view by a synopsis subjoin'd to each epistle. IV. Short annotations, relating (as occasion requires) to the several particulars afore-mentioned. ","The second edition.","London :","printed for James Knapton at the Crown in St. Paul's Church-Yard,","1716. ","[10],76,[2]p. ","4⁰. "
"N4760","1730","Leng, John,",,,"1665-1727.","Natural obligations to believe the principles of religion","and divine revelation. In sixteen sermons, preached in the church of St. Mary le Bow, ... By ... Dr. John Leng, ... ","The second edition.","London :","printed by W. B. for Robert Knaplock,","1730. ","[16],512p. ","8⁰. "
"N47628","1726",,,,,"Books printed for R. and J. Bonwicke, and R. Wilkin, in St. Paul's Church-yard; J. Walthoe, and T. Ward, in the Temple. ",,,"[London,",,"1726?] ","[4]p. ","8⁰. "
"N47723","1718","Farquhar, George,",,,"1677?-1707.","The recruiting officer.","A comedy. As it is acted at the Theatre-Royal in Drury-Lane, by Her Majesty's Servants. ",,"London :","printed for Bernard Lintott,","1718. ","[4],88,[2]p. ","12⁰. "
"N47971","1770","Blackrie, Alexander,",,,"d. 1772.","Directions for taking Blackrie's lixivium.",,,"[S.l. :","S.n.,","1770?]","8p. ","12⁰."
"N4818","1741",,,,,"Arturi Jonstoni Psalmi Davidici interpretatione,","argumentis, notisque illustrati: in usum Serenissimi Principis. ",,"Londini :","apud Gulielmum Innys, Danielem Browne, et Paulum Vaillant , Bibliopol. Typis Gulielmi Bowyer,","MDCCXLI. [1741] ","xvi,392,[86]p.,plates :","4⁰. "
"N48232","1745","Racine, Jean,",,,"1639-1699.","Esther,","tragedie tirée de l'ecriture ste. Par M. Racine.","Nouvelle edition, revüe avec soin & ponctuée à l'usage de la jeunesse, qu'on veut former à une prononciation correcte. Par D.D. de la S.R.","Londres :","chez Nourse,","1745.","xvi,63,[1]p. ","8⁰."
"N48354","1739","Voltaire,",,,"1694-1778.","Essay sur l'histoire du siecle de Louis XIV.","Par Mr. de Voltaire.",,"Amsterdam [i.e. London] :","chez H. du Sauzet,","1739.","23[i.e.31],[1]p. ","8⁰."
"N72340","1720","Fiddes, Richard,",,,"1671-1725.","Theologia practica: or, the second part of a body of divinity under that title.","Wherein are explain'd the duties of natural and revealed religion. By Richard Fiddes, D.D. Rector of Halsham, and chaplain to the right honourable Robert Earl of Oxford, and Earl Mortimer. ",,"London :","printed by W. Bowyer for Bernard Lintot between the Temple-Gates in Fleetstreet,","1720. ","[20], 555, [17] p. ","2⁰. "
"N48548","1720","Shorey, William,",,,"1688 or 9-1754.","Reason, and not raillery, the proper test of religion.","A sermon preach'd at Lincoln's-Inn Chapel, July the 10th, 1720. By William Shorey, A.M. Lecturer of St. Laurence Jewry. ",,"London :","printed for W. and J. Innys at the Prince's Arms at the West End of St. Paul's,","MDCCXX. [1720] ","[10],28p. ","8⁰. "
"N48651","1722",,,,,"The rules for electing and returning knights and burgesses from scotland,","to serve in Parliament, are so few and so distinctly limited by statute, that is is impossible any error can be committed by a returning officer, that is not willfull and voluntary. ",,"[London?,",,"1722?] ","1 sheet ","1/2⁰. "
"N48747","1717",,,,,"Etats de la distribution de la somme de douze mille livres sterling, accordée par le roy aux pauvres Protestants franc̜ois refugiez en Angleterre, par le warrant de sa Majesté du 22 de decembre, 1715. Receüe par le Committé François le 8e & le 20e de fevrier, 1515/6 [sic] & le 19 de novembre, 1716. ... ",,,"Londres :","chez Paul Vaillant,","1717. ","[4],62p. ","2⁰. "
"N48775","1728","Castell, Robert.",,,,"The villas of the ancients illustrated. By Robert Castell. ",,,"London :","printed for the author,","1728. ","[4],35,[1]p.,plates :","2⁰. "
"N48990","1746","Culpepper, Nathanael,",,,"17th/18th cent.","The family almanack,","for the year of our Lord 1746. ... To which is added, a physical directory, ... By Nathanael Culpepper. ...",,"London :","printed by H. Woodfall, for the Company of Stationers,","[1746]","[16],24p. :","8⁰."
"N49009","1713","Culpepper, Nathanael,",,,"17th/18th cent.","Culpepper revived.","Being an almanack for ... 1713. ... Calculated for the meridian ... of Cambridge; ... By Nathanael Culpepper, ... ",,"London :","printed by R. Janeway, for the Company of Stationers,","1713. ","[40]p. ","8⁰. "
"N49226","1761",,,,,"An examination into the conduct of Mr. P***, on a late important affair","in which the two letters to the Right Honourable the Earl of B***; are fully considered, and refuted. In a letter to a friend.",,"London :","printed for Thomas Hope,","1761.","[2],56p. ","8⁰."
"N4955","1737","Whiston, William,",,,"1667-1752.","A new theory of the earth,","from its original, to the consummation of all things. ... By William Whiston, ... ","The fifth edition. To which is added, an appendix, containing a new theory of the deluge.","London :","printed for John Whiston,","1737. ","[4],95,[1],478,[2]p.,plates ","8⁰. "
"N49554","1744","Machiavelli, Niccolò,",,,"1469-1527.","A translation of part of the first book of Machiavell's Art of war:","treating of the best method of defending a country against invasions and popular tumults. With an introduction and preface, in answer to modern objections.",,"London :","printed for M. Cooper,","1744.","xxiv,40p. ","4⁰."
"N49793","1724","Farquhar, George,",,,"1677?-1707.","The beaux-stratagem:","a comedy. As it is acted at the Theatre-Royal in Drury-Lane, by Her Majesty's servants. ",,"London :","printed for Bernard Lintott [sic],","1724. ","[4],90p. :","12⁰. "
"N49831","1737","Synge, Edward,",,,"1659-1741.","A help to the devout performance of private prayer.","By ... Dr. Edward Synge, ... ",,"London :","printed for Thomas Trye,","1737. ","12p. ","12⁰. "
"N5020","1768","Boyer, Abel,",,,"1667-1729.","The complete French master","for ladies and gentlemen. Containing I. A new methodical French grammar. II. A well-digested, and copious Vocabulary. III. Familiar Phrases and Dialogues on all manner of Subjects. IV. Dialogues of Wit and Humour. V. A Taste of the French Poetry. VI. A Collection of French Songs. Vii. A Collection of Choice Proverbs, both French and English. Viii. Catalogue of the best French books, fit for a Lady's, or Gentleman's Library. For the Use of his late Highness the Duke of Glocester. By Mr. A. Boyer, Author of the Royal Dictionary, French and English. ","The twenty-first edition, carefully corrected, and much improved.","London :","printed for E. Ballard, H. Woodfall, W. Strahan, J. Rivington, J. Hinton, L. Hawes and Co. J. Fuller, R. Baldwin, W. Johnston, S. Crowder, T. Longman, T. Field, Z. Stuart, G. Keith, T. Becket, W. Nicoll, and E. Stevens,","MDCCLXVIII. [1768] ","viii,376p. ","8⁰. "
"N5021","1772","Boyer, Abel,",,,"1667-1729.","The complete French master","for ladies and gentlemen: containing, I. A new methodical French grammar. II. A well-digested and copious Vocabulary. III. Familiar Phrases and Dialogues on all manner of Subjects. IV. Dialogues of Wit and Humour. V. A Taste of the French Poetry. VI. A Collection of French Songs. Vii. A Collection of Choice Proverbs, both French and English. Viii. A catalogue of the most approved French books, recommended for a Lady's or Gentleman's Library. For the Use of his Highness William, sometime Duke of Glocester. By Mr. A. Boyer, Author of the Royal Dictionary, French and English. ","The twenty-second edition, carefully corrected, and much improved.","London :","printed for E. Ballard, W. Strahan, J. and F. Rivington, J. Hinton, L. Hawes and Co. J. Fuller, R. Baldwin, W. Johnston, S. Crowder, T. Longman, T. Field, Z Stuart, G. Keith, T. Becket, W. Nicoll, E. Stevens, S. Bladon, and W. Domville,","MDCCLXXII. [1772] ","viii,376p. ","8⁰. "
"N50457","1772",,,,,"An act to enable the governor, bailiffs, and commonalty of the company of conservators of the great level of the fens,","commonly called Bedford Level, to borrow upon bond, ...",,"[London,",,"1712]","13,[3]p. ","2⁰."
"N51036","1731",,,,,"An Act for repairing the road leading from Chappel on the Heath, in the county of Oxon, to the quarry above Bourton on the Hill, in the county of Gloucester. ",,,"[London :","printed by the assigns of His Majesty's printer, and of Henry Hills deceas'd,","1731] ","[2],587-606p. ","2⁰. "
"N5143","1737","Freind, John,",,,"1675-1728.","Chymical lectures:","in which almost all the operations of chymistry are reduced to their true principles, and the laws of nature. Read in the Museum at Oxford, 1704. By John Freind, M. D. Student of Christ-Church, and Professor of Chemistry. To which is added, An appendix, containing the account given of this book in the Lipsick acts; together with the author' remarks thereon.","The second edition.","London :","printed for Aaron Ward at the King's Arms in Little Britain, and Thomas Longman at the Ship in Pater-Noster-Row,","1737.","[16],200p. ","8⁰."
"N51591","1767","Lyttelton, George Lyttelton,","Baron,",,"1709-1773.","Notes on the second and third books of The history of the life of King Henry the Second.","With an appendix to each. By George Lord Lyttelton.","The second edition.","London :","printed for W. Sandby and J. Dodsley,","1767.","[4],260,[4],375,[1],40p. ","4⁰."
"N51783","1722","Justin,","Martyr, Saint.",,,"Ioustinou philosophou kai martyros Apologia ... = Justini philosophi & martyris Apologiæ duæ et Dialogus cum Tryphone Judæo.","Cum notis & emendationibus Styani Thirlbii.",,"Londini :","impensis Richardi Sare [Gulielmi Bowyer],","1722.","[44],468,[2]p. ","2⁰."
"N51912","1750","Nelson, Robert,",,,"1656-1715.","Instructions for them that come to be confirmed:","by way of question & answer. With prayers for them to use before and after their confirmation. By Rob. Nelson, ...","The twentieth edition.","London :","printed by W. Bowyer, for Ware, W. Baker, J. and P. Knapton, T. and T. Longman, C. Hitch [and 13 others in London,","1756?]","24p. ","12⁰."
"N5222","1752","Middleton, Conyers,",,,"1683-1750.","Miscellaneous tracts by the late reverend and learned Conyers Middleton, D.D. Never before published. To which are added, some scarce pieces of the same author, that were printed in his life-time.",,,"London :","printed for Richard Manby, and H. S. Cox,","1752.","[4],x,6,9-512p. ","4⁰."
"N52394","1741","Robinson, Nicholas,",,,"1697?-1775.","The Christian philosopher","or a divine essay on the doctrines of man's universal redemption. In five books. ... Book 1. Of the perfection, glory, and immortality of Adam, ... By Nicholas Robinson, ... ",,"London :","printed for J. Roberts,","1741. ","xix,[3],165,[1]p. ","8⁰. "
"N52396","1744","Thompson, Charles,",,,"fl. 1750.","The travels of the late Charles Thompson, Esq","containing his observations on France, Italy, Turkey in Europe, the Holy Land, Arabia, Egypt, and many other parts of the world: ... publish'd from the author's original manuscript, interspers'd with the remarks of several other modern travellers, ... Adorn'd with maps and prints. In three volumes. ...",,"London :","printed for J. Robinson,","1744.","3v.,plates :","8⁰."
"N52404","1758","Arnald, Richard,",,,"1700-1756.","A critical commentary upon the book of the wisdom of Jesus son of Sirach.","Being a continuation of Bishop Patrick and Mr. Lowth. By Richard Arnald, ...",,"London :","printed for the author, by W. Bowyer. And sold by J. and P. Knapton, S. Birt, W. Thurlbourn in Cambridge, Mr. Martin and Mr. Brice at Leicester, and Mr. Ward and Mr. Ayscough at Nottingham,","1758.","xvi,iv,248p. ","4⁰."
"N52407","1733","Wilkins, David,",,,"1685-1745.","Concilia Magnæ Britanniæ et Hiberniæ,","a synodo verolamiensi A.D. CCCC XLVI. ad londinensem A.D. M DCCXVII. Accedunt constitutiones et alia ad historiam Ecclesiae Anglicanae spectantia: a Davide Wilkins, ...",,"Londini :","typis Guilielmi Bowyer,","1733.","27,[3]p. ","2⁰."
"N52474","1731","Juvenal.",,,,"D. Jun. Juvenalis et A. Persii Flacci Satyræ.","Ex optimis codicibus recensuit, notisque selectissimis illustravit Thomas Marshall, A.M. Editio nova, cæteris emendatior. Cui accesserunt nova argumenta, necnon dissertatio de origine, progressu & regulis satyræ. ",,"Londini :","prostant venales apud J. Nourse,","1731. ","[18],391,[15]p. ","12⁰. "
"N52653","1776","Anson, George Anson,","Baron,",,"1697-1762.","A voyage round the world,","in the years MDCCXL, I, II, III, IV, by George Anson, Esq; afterwards Lord Anson, Commander in Chief of a Squadron of His Majesty's Ships, sent upon an Expedition to the South-Seas. Compiled, from his papers and materials, by Richard Walter, M. A. Chaplain of His Majesty's Ship the Centurion, in that Expedition. Illustrated with forty-two copper-plates.","The fifteenth edition.","London :","printed for W. Bowyer and J. Nichols, W. Strahan, J. F. and C. Rivington, T. Davies, L. Hawes and Co. R. Horsfield, T. Becket, T. Lowndes, S. Crowder, J. Knox, T. Cadell, W. Otridge, G. Robinson, R. Baldwin, W. Woodfall, and E. Johnston,","MDCCLXXVI. [1776]","xx,417,[3]p.,plates ","4⁰."
"N52703","1719","Bell, Thomas,",,,"b. 1687 or 8.","The advantages of an early and religious education:","set forth in a sermon preach'd at Leverpool ... By Thomas Bell, ... ",,"London :","printed for B. Lintot,","1719. ","31,[1]p. ","8⁰. "
"N528","1751","White, John,",,,"ca. 1685-1755.","A defence of the three letters to a gentleman dissenting from the Church of England,","against a pamphlet, entitled, The dissenting gentleman's answer to the Reverend Mr. White's three letters, &c. The second edition. By John White, ...",,"London :","printed for C. Davis; W. Craighton at Ipswich; and M. Cooper,","1751.","44p. ","8⁰."
"N5427","1755","Boerhaave, Herman,",,,"1668-1738.","Boerhaave's aphorisms:","concerning the knowledge and cure of diseases. Translated from the last Latin edition. With useful observations and explanations.","The third edition.","London :","printed for W. Innys and J. Richardson, and C. Hitch and L. Hawes, in Paternoster-Row,","MDCCLV. [1755]","xvi,444,[4]p. ","8⁰."
"N54490","1724","Farquhar, George,",,,"1677?-1707.","The beaux-stratagem:","a comedy. As it is acted at the Theatre-Royal in Drury-Lane, by Her Majesty's servants. ",,"London :","printed for Bernard Lintott,","1724. ","[4],87,[1]p.,plate ","12⁰. "
"N54506","1746","Lloyd, William,",,,"1627-1717.","Considerations touching the way to suppress popery in this kingdom,","by making a distinction between Papalins and Catholicks. On occasion whereof is inserted, an historical account of the Reformation here in England. By William Lloyd, ...",,"London :","printed for M. Cooper,","1746.","viii, 154p. ","8⁰."
"N54646","1729",,,,,"An Act for repairing the roads leading from Cannal's Gate to the city of Lichfield, and from the said city to Stone, and from thence to the end of the county of Stafford, in the Post Road towards Chester","and also from the town of Burton upon Trent to the said city of Lichfield, and from thence to Wood End and Ogley Hay; and also from the said city of Lichfield to High Bridges in the county of Stafford, and the county of the said city of Lichfield. ",,"[London,",,"1729] ","11,[1]p. ","2⁰. "
"N54700","1712","Reeves, William,",,,"1667-1726.","The nature of truth and falshood; with some motives to the practice of mutual sincerity.","A sermon preached before the Queen, in St. George's chapel at Windsor; on the 10th day of August 1712, ... By William Reeves, ... ",,"London :","printed by W. Bowyer for Richard Sare,","1712. ","28p. ","4⁰. "
"N54947","1766","Pegge, Samuel,",,,"1704-1796.","An essay on the coins of Cunobelin: in an epistle to the Right Reverend the Lord Bishop of Carlisle, ... wherein this noble set of coins is classed, and appropriated to our British king ... Two plates are prefixed, ... By Samuel Pegge, A.M. ...",,,"London :","printed for William Bowyer,","1766.","iv,105,[1]p.,plates ","4⁰."
"N55170","1733",,,,,"Jesu Christi domini nostri Novum Testamentum sive novum fodus.","Interprete Theodoro Beza. ",,"Londini :","impensis societatis stationariorum,","1733. ","360p. ","12⁰. "
"N5537","1773","Kuster, Ludolf,",,,"1670-1716.","Lud. Kusterus de vero usu verborum mediorum,","eorumque differentia a verbis activis & passivis. Item veteres poetæ citati ad P. Philippi Labbei de ancipitum græcarum vocalium in prioribus syllabis mensura confirmandum sententiam. Sive index vocabulorum ... Opera & curâ Edwardi Leedes, ...","Editio nova.","Londini :","excudebant G. Bowyer & J. Nichols; impensis J. & F. Rivington,","1773.","[2],xi,[1],156p. ","8⁰."
"N55555","1729",,,,,"A report from the committee","appointed to enquire into the state of the goals of the kingdom of Ireland: relating to Newgate ... with the resolutions and orders of the House of Commons of Ireland thereupon. ",,"[London] :","Dublin: printed by Samuel Fairbrother. London: Re-printed for T. Warner,","1729. ","12p. ","2⁰. "
